timestamp,x,y,z,label
1657093317880,2,246,39,1
1657093317920,10,236,44,1
1657093317960,10,254,66,1
1657093318000,-1,246,44,1
1657093318040,51,236,45,1
1657093318080,19,253,47,1
1657093318120,-19,252,42,1
1657093318160,-35,252,43,1
1657093318200,-14,246,42,1
1657093318240,9,245,39,1
1657093318280,13,247,29,1
1657093318320,11,242,22,1
1657093318360,3,236,28,1
1657093318400,1,234,43,1
1657093318440,-5,238,51,1
1657093318480,-16,248,42,1
1657093318520,-17,257,30,1
1657093318560,-4,257,25,1
1657093318600,3,256,31,1
1657093318640,4,250,36,1
1657093318680,1,248,37,1
1657093318720,-4,246,43,1
1657093318760,-2,246,45,1
1657093318800,2,245,42,1
1657093318840,3,246,41,1
1657093318880,3,236,56,1
1657093318920,-10,241,73,1
1657093318960,-5,233,55,1
1657093319000,0,241,28,1
1657093319040,6,248,13,1
1657093319080,3,255,17,1
1657093319120,-1,257,30,1
1657093319160,-1,255,43,1
1657093319200,0,249,46,1
1657093319240,-3,247,38,1
1657093319280,-11,245,37,1
1657093319320,-14,243,33,1
1657093319360,-1,243,33,1
1657093319400,5,247,41,1
1657093319440,8,248,41,1
1657093319480,2,240,42,1
1657093319520,-3,239,40,1
1657093319560,-5,242,36,1
1657093319600,-8,242,49,1
1657093319640,-8,245,56,1
1657093319680,-4,245,58,1
1657093319720,-1,245,46,1
1657093319760,1,248,33,1
1657093319800,1,249,31,1
1657093319840,6,258,35,1
1657093319880,3,253,37,1
1657093319920,2,252,29,1
1657093319960,-2,244,34,1
1657093320000,-4,237,43,1
1657093320040,-3,239,47,1
1657093320080,1,246,43,1
1657093320120,2,249,37,1
1657093320160,-2,250,35,1
1657093320200,-1,250,39,1
1657093320240,-3,250,44,1
1657093320280,0,245,40,1
1657093320320,17,239,16,1
1657093320360,-14,212,69,1
1657093320400,-49,216,121,1
1657093320440,-23,228,164,1
1657093320480,-17,205,194,1
1657093320520,-1,200,194,1
1657093320560,14,203,184,1
1657093320600,22,218,161,1
1657093320640,6,249,104,1
1657093320680,-12,261,43,1
1657093320720,-22,243,-2,1
1657093320760,-13,214,-3,1
1657093320800,3,210,28,1
1657093320840,64,253,352,1
1657093320880,21,242,-4,1
1657093320920,8,263,-2,1
1657093320960,19,277,-17,1
1657093321000,7,258,-8,1
1657093321040,5,255,26,1
1657093321080,-4,242,43,1
1657093321120,-17,244,25,1
1657093321160,-9,247,16,1
1657093321200,-2,246,25,1
1657093321240,190,394,152,1
1657093321280,-56,200,27,1
1657093321320,-88,203,23,1
1657093321360,-45,247,12,1
1657093321400,7,256,-1,1
1657093321440,27,251,21,1
1657093321480,8,257,17,1
1657093321520,47,279,28,1
1657093321560,33,246,41,1
1657093321600,8,231,33,1
1657093321640,-31,215,28,1
1657093321680,-34,231,10,1
1657093321720,-9,243,13,1
1657093321760,7,247,24,1
1657093321800,13,262,9,1
1657093321840,4,227,58,1
1657093321880,18,274,34,1
1657093321920,-8,241,82,1
1657093321960,-14,262,62,1
1657093322000,-1,263,30,1
1657093322040,1,237,5,1
1657093322080,13,208,14,1
1657093322120,10,232,19,1
1657093322160,-35,260,29,1
1657093322200,-57,268,35,1
1657093322240,-46,265,46,1
1657093322280,-29,245,49,1
1657093322320,3,236,40,1
1657093322360,36,234,34,1
1657093322400,33,235,31,1
1657093322440,-1,243,36,1
1657093322480,-32,250,46,1
1657093322520,-35,252,46,1
1657093322560,-13,246,35,1
1657093322600,6,242,29,1
1657093322640,10,244,28,1
1657093322680,2,244,34,1
1657093322720,-7,246,41,1
1657093322760,-10,249,47,1
1657093322800,-9,250,41,1
1657093322840,-4,251,37,1
1657093322880,-2,249,34,1
1657093322920,-2,246,33,1
1657093322960,-1,244,36,1
1657093323000,-3,246,37,1
1657093323040,-6,249,40,1
1657093323080,-8,248,36,1
1657093323120,-2,247,35,1
1657093323160,0,245,34,1
1657093323200,-1,245,33,1
1657093323240,-5,246,36,1
1657093323280,-6,246,39,1
1657093323320,-4,245,36,1
1657093323360,0,243,32,1
1657093323400,-1,245,29,1
1657093323440,-3,248,30,1
1657093323480,-3,250,34,1
1657093323520,-1,251,38,1
1657093323560,2,254,35,1
1657093323600,2,252,32,1
1657093323640,-1,252,30,1
1657093323680,-8,248,33,1
1657093323720,-13,242,32,1
1657093323760,-9,235,33,1
1657093323800,-4,235,35,1
1657093323840,2,237,32,1
1657093323880,7,243,32,1
1657093323920,6,251,33,1
1657093323960,-1,257,32,1
1657093324000,-7,259,32,1
1657093324040,-7,257,29,1
1657093324080,-5,251,28,1
1657093324120,-3,247,28,1
1657093324160,-4,244,33,1
1657093324200,-8,242,35,1
1657093324240,-5,238,36,1
1657093324280,-2,235,33,1
1657093324320,1,235,30,1
1657093324360,5,242,29,1
1657093324400,5,253,28,1
1657093324440,1,260,30,1
1657093324480,-7,262,34,1
1657093324520,-12,256,34,1
1657093324560,-11,248,31,1
1657093324600,-3,239,29,1
1657093324640,1,235,27,1
1657093324680,3,238,30,1
1657093324720,3,242,31,1
1657093324760,0,247,36,1
1657093324800,-5,249,39,1
1657093324840,-8,249,38,1
1657093324880,-4,248,33,1
1657093324920,0,246,26,1
1657093324960,1,246,22,1
1657093325000,1,246,24,1
1657093325040,0,247,30,1
1657093325080,-3,249,40,1
1657093325120,-7,249,46,1
1657093325160,-7,248,41,1
1657093325200,-3,249,30,1
1657093325240,1,246,22,1
1657093325280,1,242,23,1
1657093325320,0,242,32,1
1657093325360,-1,245,38,1
1657093325400,-1,249,41,1
1657093325440,-2,254,39,1
1657093325480,-3,254,37,1
1657093325520,-1,252,33,1
1657093325560,-1,249,29,1
1657093325600,-4,243,29,1
1657093325640,-8,238,29,1
1657093325680,-6,236,35,1
1657093325720,-1,240,41,1
1657093325760,4,248,43,1
1657093325800,7,253,37,1
1657093325840,2,254,30,1
1657093325880,-5,253,26,1
1657093325920,-10,253,27,1
1657093325960,-10,252,33,1
1657093326000,-5,246,41,1
1657093326040,-3,239,42,1
1657093326080,1,235,41,1
1657093326120,2,236,35,1
1657093326160,1,241,30,1
1657093326200,1,247,31,1
1657093326240,0,254,35,1
1657093326280,1,259,35,1
1657093326320,0,258,33,1
1657093326360,-4,254,32,1
1657093326400,-6,247,34,1
1657093326440,-9,239,38,1
1657093326480,-7,235,39,1
1657093326520,-2,236,40,1
1657093326560,0,237,37,1
1657093326600,1,241,35,1
1657093326640,5,248,34,1
1657093326680,5,256,32,1
1657093326720,3,261,29,1
1657093326760,-5,262,30,1
1657093326800,-12,253,32,1
1657093326840,-14,241,40,1
1657093326880,-11,233,44,1
1657093326920,-1,232,45,1
1657093326960,6,237,40,1
1657093327000,9,247,33,1
1657093327040,5,252,28,1
1657093327080,-3,255,30,1
1657093327120,-10,256,36,1
1657093327160,-11,250,35,1
1657093327200,-7,246,37,1
1657093327240,-2,244,37,1
1657093327280,1,243,36,1
1657093327320,4,245,35,1
1657093327360,3,248,36,1
1657093327400,-1,248,35,1
1657093327440,-5,248,36,1
1657093327480,-8,247,36,1
1657093327520,-4,247,33,1
1657093327560,-2,246,32,1
1657093327600,1,246,34,1
1657093327640,0,247,36,1
1657093327680,-2,246,36,1
1657093327720,-4,247,38,1
1657093327760,-1,247,35,1
1657093327800,1,250,32,1
1657093327840,1,252,33,1
1657093327880,-1,250,34,1
1657093327920,-4,248,36,1
1657093327960,-5,243,38,1
1657093328000,-3,242,38,1
1657093328040,0,242,36,1
1657093328080,0,245,33,1
1657093328120,1,247,29,1
1657093328160,0,247,31,1
1657093328200,-1,251,33,1
1657093328240,0,256,34,1
1657093328280,0,257,36,1
1657093328320,-1,254,37,1
1657093328360,-5,247,35,1
1657093328400,-9,239,32,1
1657093328440,-7,233,32,1
1657093328480,-4,232,34,1
1657093328520,1,238,38,1
1657093328560,6,247,40,1
1657093328600,6,254,37,1
1657093328640,0,257,34,1
1657093328680,-7,257,28,1
1657093328720,-9,254,28,1
1657093328760,-6,251,30,1
1657093328800,-2,244,34,1
1657093328840,0,240,39,1
1657093328880,0,239,42,1
1657093328920,1,242,38,1
1657093328960,0,245,37,1
1657093329000,0,247,32,1
1657093329040,-2,249,30,1
1657093329080,-2,251,30,1
1657093329120,-2,252,33,1
1657093329160,-3,251,35,1
1657093329200,0,246,33,1
1657093329240,0,243,33,1
1657093329280,0,241,34,1
1657093329320,-2,242,36,1
1657093329360,-1,244,39,1
1657093329400,-2,249,38,1
1657093329440,1,252,36,1
1657093329480,1,254,31,1
1657093329520,0,253,27,1
1657093329560,-2,250,31,1
1657093329600,-5,248,32,1
1657093329640,2,253,43,1
1657093329680,-3,241,38,1
1657093329720,-1,240,40,1
1657093329760,0,243,38,1
1657093329800,1,246,36,1
1657093329840,4,255,40,1
1657093329880,1,252,32,1
1657093329920,0,253,31,1
1657093329960,-2,255,34,1
1657093330000,-3,253,35,1
1657093330040,-4,241,32,1
1657093330080,-3,243,32,1
1657093330120,-2,240,33,1
1657093330160,-1,239,35,1
1657093330200,0,239,37,1
1657093330240,-1,243,38,1
1657093330280,-1,245,37,1
1657093330320,0,248,35,1
1657093330360,-1,250,30,1
1657093330400,0,251,32,1
1657093330440,1,256,31,1
1657093330480,1,257,33,1
1657093330520,-1,258,34,1
1657093330560,-4,253,38,1
1657093330600,-5,245,39,1
1657093330640,-6,238,37,1
1657093330680,-3,232,33,1
1657093330720,-3,231,33,1
1657093330760,0,235,32,1
1657093330800,3,240,34,1
1657093330840,5,249,38,1
1657093330880,5,255,39,1
1657093330920,1,257,39,1
1657093330960,-4,257,35,1
1657093331000,-5,257,32,1
1657093331040,-6,254,32,1
1657093331080,-3,249,33,1
1657093331120,-1,245,34,1
1657093331160,-1,242,37,1
1657093331200,0,239,36,1
1657093331240,0,241,36,1
1657093331280,0,242,36,1
1657093331320,0,245,35,1
1657093331360,1,247,36,1
1657093331400,0,248,34,1
1657093331440,0,249,32,1
1657093331480,-5,248,33,1
1657093331520,-7,246,31,1
1657093331560,-3,243,32,1
1657093331600,-1,246,35,1
1657093331640,3,249,37,1
1657093331680,4,252,38,1
1657093331720,2,253,35,1
1657093331760,-1,254,35,1
1657093331800,-7,253,34,1
1657093331840,-8,249,35,1
1657093331880,-8,239,32,1
1657093331920,-3,231,26,1
1657093331960,2,229,25,1
1657093332000,8,242,35,1
1657093332040,9,258,50,1
1657093332080,0,266,55,1
1657093332120,-7,258,39,1
1657093332160,-11,244,21,1
1657093332200,-8,230,15,1
1657093332240,-1,234,24,1
1657093332280,6,251,41,1
1657093332320,6,260,49,1
1657093332360,-1,259,45,1
1657093332400,-3,247,34,1
1657093332440,-7,233,28,1
1657093332480,-6,229,28,1
1657093332520,-1,237,34,1
1657093332560,5,252,40,1
1657093332600,8,257,44,1
1657093332640,2,257,40,1
1657093332680,-3,251,33,1
1657093332720,-6,246,27,1
1657093332760,-3,246,29,1
1657093332800,-3,245,36,1
1657093332840,-2,241,36,1
1657093332880,-2,237,34,1
1657093332920,0,237,34,1
1657093332960,2,243,37,1
1657093333000,5,252,43,1
1657093333040,3,256,44,1
1657093333080,-3,255,36,1
1657093333120,-7,249,29,1
1657093333160,-9,246,26,1
1657093333200,-1,248,29,1
1657093333240,5,254,38,1
1657093333280,6,255,46,1
1657093333320,-4,247,43,1
1657093333360,-11,236,35,1
1657093333400,-10,230,28,1
1657093333440,-1,232,27,1
1657093333480,10,244,36,1
1657093333520,10,255,45,1
1657093333560,0,260,47,1
1657093333600,-10,254,36,1
1657093333640,-13,241,26,1
1657093333680,-4,232,21,1
1657093333720,4,236,30,1
1657093333760,14,251,45,1
1657093333800,9,267,50,1
1657093333840,1,271,47,1
1657093333880,-1,260,33,1
1657093333920,-3,240,25,1
1657093333960,-11,224,25,1
1657093334000,-13,217,30,1
1657093334040,-5,224,38,1
1657093334080,9,244,48,1
1657093334120,18,261,51,1
1657093334160,15,267,46,1
1657093334200,2,265,36,1
1657093334240,-8,257,24,1
1657093334280,-13,251,19,1
1657093334320,-11,248,32,1
1657093334360,-3,245,37,1
1657093334400,1,244,48,1
1657093334440,-1,236,45,1
1657093334480,0,230,40,1
1657093334520,-2,225,30,1
1657093334560,-4,226,28,1
1657093334600,0,238,36,1
1657093334640,10,255,47,1
1657093334680,13,272,46,1
1657093334720,7,278,36,1
1657093334760,2,273,27,1
1657093334800,-5,259,27,1
1657093334840,-13,243,32,1
1657093334880,-16,229,33,1
1657093334920,-8,224,37,1
1657093334960,1,228,40,1
1657093335000,7,236,44,1
1657093335040,7,243,47,1
1657093335080,3,246,38,1
1657093335120,0,250,32,1
1657093335160,-6,251,30,1
1657093335200,-8,252,31,1
1657093335240,-4,254,34,1
1657093335280,3,256,35,1
1657093335320,6,256,35,1
1657093335360,1,255,36,1
1657093335400,-6,251,34,1
1657093335440,-8,246,37,1
1657093335480,-3,242,41,1
1657093335520,1,240,41,1
1657093335560,1,238,42,1
1657093335600,-2,236,34,1
1657093335640,-7,234,27,1
1657093335680,-2,238,24,1
1657093335720,5,244,28,1
1657093335760,14,257,41,1
1657093335800,11,269,54,1
1657093335840,2,270,51,1
1657093335880,-9,260,37,1
1657093335920,-15,242,25,1
1657093335960,-15,229,20,1
1657093336000,-5,224,26,1
1657093336040,6,232,42,1
1657093336080,15,244,55,1
1657093336120,11,252,53,1
1657093336160,1,252,42,1
1657093336200,-10,249,31,1
1657093336240,-10,254,31,1
1657093336280,-5,248,28,1
1657093336320,6,251,33,1
1657093336360,9,251,36,1
1657093336400,1,249,37,1
1657093336440,-8,247,41,1
1657093336480,-9,246,41,1
1657093336520,-1,243,41,1
1657093336560,5,242,40,1
1657093336600,2,240,36,1
1657093336640,-2,240,30,1
1657093336680,-8,243,31,1
1657093336720,-4,247,32,1
1657093336760,5,252,38,1
1657093336800,13,258,44,1
1657093336840,9,261,44,1
1657093336880,-3,259,36,1
1657093336920,-13,250,30,1
1657093336960,-14,237,31,1
1657093337000,-9,226,34,1
1657093337040,-1,228,39,1
1657093337080,6,235,40,1
1657093337120,12,248,39,1
1657093337160,10,258,39,1
1657093337200,2,262,39,1
1657093337240,-5,259,33,1
1657093337280,-13,250,28,1
1657093337320,-12,242,27,1
1657093337360,-8,234,35,1
1657093337400,0,236,43,1
1657093337440,5,243,48,1
1657093337480,8,248,44,1
1657093337520,5,250,39,1
1657093337560,-3,250,35,1
1657093337600,-6,250,30,1
1657093337640,-5,251,32,1
1657093337680,-2,249,32,1
1657093337720,0,244,37,1
1657093337760,1,240,41,1
1657093337800,1,241,44,1
1657093337840,2,249,41,1
1657093337880,0,253,34,1
1657093337920,-3,250,33,1
1657093337960,-4,245,33,1
1657093338000,-5,242,36,1
1657093338040,-1,243,38,1
1657093338080,2,247,36,1
1657093338120,1,250,35,1
1657093338160,2,250,34,1
1657093338200,0,250,35,1
1657093338240,0,247,38,1
1657093338280,-2,248,41,1
1657093338320,-2,246,40,1
1657093338360,-5,244,38,1
1657093338400,-4,241,32,1
1657093338440,-1,240,31,1
1657093338480,1,244,36,1
1657093338520,6,249,41,1
1657093338560,6,253,39,1
1657093338600,3,255,37,1
1657093338640,-1,256,33,1
1657093338680,-5,256,34,1
1657093338720,-8,252,37,1
1657093338760,-10,242,37,1
1657093338800,-8,228,38,1
1657093338840,-1,225,39,1
1657093338880,6,235,39,1
1657093338920,13,253,40,1
1657093338960,10,262,35,1
1657093339000,1,261,36,1
1657093339040,-8,258,35,1
1657093339080,-12,251,33,1
1657093339120,-10,247,36,1
1657093339160,-4,242,42,1
1657093339200,0,240,44,1
1657093339240,5,241,42,1
1657093339280,5,241,38,1
1657093339320,1,241,34,1
1657093339360,-2,241,33,1
1657093339400,-5,246,33,1
1657093339440,-2,251,36,1
1657093339480,1,257,37,1
1657093339520,2,258,38,1
1657093339560,2,254,37,1
1657093339600,0,251,38,1
1657093339640,-4,247,39,1
1657093339680,-7,239,39,1
1657093339720,-9,234,38,1
1657093339760,-2,236,34,1
1657093339800,6,243,36,1
1657093339840,10,253,37,1
1657093339880,6,256,38,1
1657093339920,-2,257,39,1
1657093339960,-10,253,34,1
1657093340000,-9,247,34,1
1657093340040,-8,239,37,1
1657093340080,-4,233,41,1
1657093340120,0,233,42,1
1657093340160,6,242,39,1
1657093340200,13,253,34,1
1657093340240,9,259,33,1
1657093340280,-1,260,35,1
1657093340320,-10,258,40,1
1657093340360,-12,253,39,1
1657093340400,-13,242,38,1
1657093340440,-5,233,37,1
1657093340480,3,232,37,1
1657093340520,13,241,37,1
1657093340560,12,252,36,1
1657093340600,0,254,38,1
1657093340640,-12,251,40,1
1657093340680,-14,246,39,1
1657093340720,-8,244,38,1
1657093340760,1,243,36,1
1657093340800,7,245,38,1
1657093340840,8,250,36,1
1657093340880,2,254,33,1
1657093340920,-4,255,38,1
1657093340960,-9,249,40,1
1657093341000,-9,245,43,1
1657093341040,-4,242,42,1
1657093341080,0,242,38,1
1657093341120,2,244,35,1
1657093341160,7,249,33,1
1657093341200,5,253,33,1
1657093341240,1,254,37,1
1657093341280,-6,251,39,1
1657093341320,-11,244,40,1
1657093341360,-10,241,42,1
1657093341400,-5,237,39,1
1657093341440,1,241,38,1
1657093341480,6,245,36,1
1657093341520,10,250,36,1
1657093341560,4,255,35,1
1657093341600,-1,255,35,1
1657093341640,-6,252,33,1
1657093341680,-8,249,36,1
1657093341720,-7,247,40,1
1657093341760,-2,241,42,1
1657093341800,-1,237,42,1
1657093341840,0,238,40,1
1657093341880,3,243,36,1
1657093341920,8,254,32,1
1657093341960,7,259,29,1
1657093342000,-1,259,32,1
1657093342040,-10,254,35,1
1657093342080,-14,243,40,1
1657093342120,-11,234,43,1
1657093342160,-3,231,44,1
1657093342200,3,236,41,1
1657093342240,10,245,38,1
1657093342280,9,253,32,1
1657093342320,2,257,31,1
1657093342360,-1,256,33,1
1657093342400,-6,254,37,1
1657093342440,-8,251,40,1
1657093342480,-4,245,42,1
1657093342520,-1,241,41,1
1657093342560,2,239,38,1
1657093342600,4,242,37,1
1657093342640,2,245,37,1
1657093342680,0,247,34,1
1657093342720,-1,247,34,1
1657093342760,-2,248,36,1
1657093342800,-1,249,38,1
1657093342840,-1,248,38,1
1657093342880,-1,247,37,1
1657093342920,0,245,36,1
1657093342960,0,246,37,1
1657093343000,1,251,39,1
1657093343040,0,254,41,1
1657093343080,-1,254,41,1
1657093343120,-1,253,37,1
1657093343160,-1,249,30,1
1657093343200,-2,242,29,1
1657093343240,-6,237,35,1
1657093343280,-5,233,44,1
1657093343320,-1,238,48,1
1657093343360,4,245,45,1
1657093343400,7,254,37,1
1657093343440,4,256,31,1
1657093343480,0,255,30,1
1657093343520,-7,251,35,1
1657093343560,-10,247,41,1
1657093343600,-8,245,44,1
1657093343640,0,245,42,1
1657093343680,5,243,38,1
1657093343720,4,245,37,1
1657093343760,1,244,33,1
1657093343800,-3,246,31,1
1657093343840,-6,248,37,1
1657093343880,-2,248,41,1
1657093343920,-1,247,44,1
1657093343960,0,246,45,1
1657093344000,1,245,40,1
1657093344040,1,247,34,1
1657093344080,0,250,30,1
1657093344120,0,252,32,1
1657093344160,0,253,33,1
1657093344200,0,251,37,1
1657093344240,-2,248,41,1
1657093344280,-2,245,42,1
1657093344320,-5,242,42,1
1657093344360,-4,237,42,1
1657093344400,-1,238,38,1
1657093344440,1,241,35,1
1657093344480,6,248,32,1
1657093344520,4,254,33,1
1657093344560,2,256,36,1
1657093344600,-3,256,37,1
1657093344640,-7,254,39,1
1657093344680,-8,250,40,1
1657093344720,-4,245,41,1
1657093344760,1,242,40,1
1657093344800,3,242,37,1
1657093344840,1,241,34,1
1657093344880,-2,239,35,1
1657093344920,-6,239,36,1
1657093344960,-5,243,39,1
1657093345000,0,249,37,1
1657093345040,4,254,37,1
1657093345080,5,255,38,1
1657093345120,1,253,38,1
1657093345160,-4,251,41,1
1657093345200,-4,252,41,1
1657093345240,-2,253,37,1
1657093345280,-1,250,35,1
1657093345320,1,246,34,1
1657093345360,0,239,37,1
1657093345400,-2,234,39,1
1657093345440,-5,234,40,1
1657093345480,-4,237,41,1
1657093345520,0,244,38,1
1657093345560,6,252,37,1
1657093345600,11,257,39,1
1657093345640,5,260,36,1
1657093345680,-5,260,38,1
1657093345720,-14,256,37,1
1657093345760,-10,248,38,1
1657093345800,-5,240,37,1
1657093345840,0,235,37,1
1657093345880,2,236,34,1
1657093345920,3,242,37,1
1657093345960,2,245,38,1
1657093346000,0,248,42,1
1657093346040,-1,249,46,1
1657093346080,-1,251,44,1
1657093346120,0,253,38,1
1657093346160,0,255,31,1
1657093346200,-1,254,25,1
1657093346240,-2,252,30,1
1657093346280,-6,244,38,1
1657093346320,-5,240,44,1
1657093346360,2,241,54,1
1657093346400,6,243,48,1
1657093346440,6,250,39,1
1657093346480,3,252,32,1
1657093346520,-2,250,33,1
1657093346560,-10,247,32,1
1657093346600,-10,244,35,1
1657093346640,-3,243,33,1
1657093346680,3,245,36,1
1657093346720,8,250,43,1
1657093346760,7,253,50,1
1657093346800,-1,254,46,1
1657093346840,-5,251,36,1
1657093346880,-5,246,27,1
1657093346920,-3,243,23,1
1657093346960,-2,242,30,1
1657093347000,-3,242,40,1
1657093347040,-1,241,48,1
1657093347080,1,243,49,1
1657093347120,5,249,45,1
1657093347160,6,253,36,1
1657093347200,2,256,26,1
1657093347240,-3,256,28,1
1657093347280,-9,253,32,1
1657093347320,-10,250,38,1
1657093347360,-6,243,43,1
1657093347400,-1,237,46,1
1657093347440,1,234,44,1
1657093347480,2,234,41,1
1657093347520,3,240,33,1
1657093347560,3,250,30,1
1657093347600,1,258,29,1
1657093347640,0,260,36,1
1657093347680,-4,258,41,1
1657093347720,-7,250,41,1
1657093347760,-9,241,43,1
1657093347800,-5,234,42,1
1657093347840,0,235,39,1
1657093347880,6,242,33,1
1657093347920,10,248,27,1
1657093347960,3,252,32,1
1657093348000,-4,253,39,1
1657093348040,-9,254,45,1
1657093348080,-7,252,45,1
1657093348120,-1,248,41,1
1657093348160,0,245,35,1
1657093348200,1,241,30,1
1657093348240,1,241,29,1
1657093348280,1,245,34,1
1657093348320,0,249,42,1
1657093348360,0,254,45,1
1657093348400,-2,252,40,1
1657093348440,-2,247,35,1
1657093348480,-2,246,30,1
1657093348520,-1,245,32,1
1657093348560,0,244,36,1
1657093348600,0,245,43,1
1657093348640,1,245,46,1
1657093348680,0,248,42,1
1657093348720,1,250,34,1
1657093348760,1,254,26,1
1657093348800,0,256,26,1
1657093348840,-2,253,36,1
1657093348880,-8,246,45,1
1657093348920,-8,238,48,1
1657093348960,-3,233,44,1
1657093349000,2,237,37,1
1657093349040,9,244,31,1
1657093349080,7,253,31,1
1657093349120,1,256,35,1
1657093349160,-5,256,40,1
1657093349200,-8,254,43,1
1657093349240,-5,247,42,1
1657093349280,-2,243,37,1
1657093349320,-1,240,37,1
1657093349360,0,239,37,1
1657093349400,2,245,35,1
1657093349440,4,252,36,1
1657093349480,3,253,38,1
1657093349520,-3,253,39,1
1657093349560,-9,247,40,1
1657093349600,-9,241,40,1
1657093349640,-4,241,37,1
1657093349680,2,243,34,1
1657093349720,7,246,34,1
1657093349760,7,252,37,1
1657093349800,2,254,36,1
1657093349840,-4,254,39,1
1657093349880,-11,250,39,1
1657093349920,-8,243,39,1
1657093349960,-3,240,38,1
1657093350000,-1,235,33,1
1657093350040,7,246,34,1
1657093350080,6,252,36,1
1657093350120,1,253,37,1
1657093350160,-2,251,39,1
1657093350200,-6,250,40,1
1657093350240,-5,246,37,1
1657093350280,-3,243,38,1
1657093350320,-1,242,38,1
1657093350360,1,245,37,1
1657093350400,2,246,36,1
1657093350440,1,248,35,1
1657093350480,0,249,38,1
1657093350520,-2,246,40,1
1657093350560,-3,245,41,1
1657093350600,-4,246,39,1
1657093350640,-2,248,37,1
1657093350680,1,251,33,1
1657093350720,3,252,33,1
1657093350760,4,253,36,1
1657093350800,1,252,34,1
1657093350840,-2,250,36,1
1657093350880,-8,245,38,1
1657093350920,-10,239,42,1
1657093350960,-6,236,42,1
1657093351000,-1,237,38,1
1657093351040,8,243,37,1
1657093351080,12,251,32,1
1657093351120,8,257,31,1
1657093351160,0,257,35,1
1657093351200,-11,256,41,1
1657093351240,-12,248,45,1
1657093351280,-9,240,44,1
1657093351320,-2,235,37,1
1657093351360,4,237,32,1
1657093351400,11,243,30,1
1657093351440,11,250,32,1
1657093351480,2,255,39,1
1657093351520,-8,255,44,1
1657093351560,-13,250,44,1
1657093351600,-9,244,40,1
1657093351640,0,239,34,1
1657093351680,5,241,33,1
1657093351720,9,246,32,1
1657093351760,3,251,35,1
1657093351800,-5,252,41,1
1657093351840,-10,249,44,1
1657093351880,-6,244,41,1
1657093351920,0,244,34,1
1657093351960,5,244,30,1
1657093352000,5,248,32,1
1657093352040,0,249,38,1
1657093352080,-6,248,45,1
1657093352120,-7,248,47,1
1657093352160,-2,247,41,1
1657093352200,2,248,32,1
1657093352240,5,247,28,1
1657093352280,1,246,31,1
1657093352320,-3,246,39,1
1657093352360,-6,248,46,1
1657093352400,-3,250,46,1
1657093352440,3,251,38,1
1657093352480,4,248,31,1
1657093352520,0,245,30,1
1657093352560,-5,242,34,1
1657093352600,-8,243,40,1
1657093352640,-4,246,41,1
1657093352680,2,247,40,1
1657093352720,8,249,38,1
